experiment,detector,phase,fpr,fpr_ci_lower,fpr_ci_upper,fpr_n,tpr,tpr_ci_lower,tpr_ci_upper,tpr_n,ci_method
experiment_009,schema_violation,Phase 2 Track A,0.0,0.0,0.0,100,1.0,1.0,1.0,100,Wilson score (95%)
experiment_010,hallucination,Phase 2 Track A,0.0,0.0,0.0,99,1.0,1.0,1.0,100,Wilson score (95%)
experiment_011,confidence_collapse,Phase 2 Track A,0.0,0.0,0.0,97,1.0,1.0,1.0,98,Wilson score (95%)
experiment_012,sycophantic_gap_fill,Phase 2 Track A,0.0233,0.0,0.0552,86,1.0,1.0,1.0,87,Wilson score (95%)
experiment_013,context_degradation,Phase 2 Track A,0.0,0.0,0.0,100,1.0,1.0,1.0,100,Wilson score (95%)
experiment_014,repetition_loop,Phase 2 Track A,0.0,0.0,0.0,100,1.0,1.0,1.0,100,Wilson score (95%)
experiment_015,parameter_drift,Phase 2 Track B,0.0,0.0,0.0,100,1.0,1.0,1.0,100,Wilson score (95%)
experiment_016,timeout,Phase 2 Track B,0.0,0.0,0.0,100,0.84,0.7681,0.9119,100,Wilson score (95%)
experiment_017,response_integrity,Phase 2 Track B,0.0,0.0,0.0,100,1.0,1.0,1.0,100,Wilson score (95%)
