experiment,detector,phase,source,n_clean,n_violation,total_trials,clean_passed,violation_passed,false_positive_rate,true_positive_rate
experiment_009,schema_violation,Phase 2 Track A,JSONSchemaBench Glaiveai2K,100,100,200,100,100,0.0,1.0
experiment_010,hallucination,Phase 2 Track A,ExpertQA,99,100,199,99,100,0.0,1.0
experiment_011,confidence_collapse,Phase 2 Track A,sycophancy-eval are_you_sure.jsonl,97,98,195,97,98,0.0,1.0
experiment_012,sycophantic_gap_fill,Phase 2 Track A,sycophancy-eval feedback.jsonl,86,87,173,84,87,0.0233,1.0
experiment_013,context_degradation,Phase 2 Track A,Lost in the Middle + synthetic,100,100,200,100,100,0.0,1.0
experiment_014,repetition_loop,Phase 2 Track A,Synthetic hash injection,100,100,200,100,100,0.0,1.0
experiment_015,parameter_drift,Phase 2 Track B,Synthetic two-call sequences,100,100,200,100,100,0.0,1.0
experiment_016,timeout,Phase 2 Track B,Synthetic latency values,100,100,200,100,84,0.0,0.84
experiment_017,response_integrity,Phase 2 Track B,Synthetic dict payloads,100,100,200,100,100,0.0,1.0
